age,memory_score,attention_score,recall_score,reaction_score,reaction_time_ms,previous_accuracy,weak_area,recommended_activity,recommended_difficulty
83,59.0,78.0,61.0,80.0,498.0,81.0,memory,Memory Match,Easy
57,54.0,62.0,79.0,71.0,613.0,55.0,memory,Memory Match,Easy
66,75.0,98.0,93.0,79.0,508.0,72.0,memory,Memory Match,Medium
80,70.0,62.0,70.0,72.0,601.0,84.0,attention,Attention Challenge,Easy
70,82.0,73.0,70.0,68.0,646.0,64.0,reaction,Reaction Test,Medium
76,88.0,47.0,74.0,81.0,486.0,74.0,attention,Attention Challenge,Easy
83,81.0,80.0,63.0,83.0,457.0,86.0,recall,Word Recall,Easy
68,87.0,56.0,76.0,71.0,607.0,63.0,attention,Attention Challenge,Easy
82,79.0,78.0,75.0,89.0,391.0,61.0,recall,Word Recall,Medium
59,81.0,62.0,93.0,65.0,683.0,63.0,attention,Attention Challenge,Easy
84,74.0,37.0,69.0,76.0,551.0,81.0,attention,Attention Challenge,Easy
59,81.0,70.0,81.0,77.0,536.0,72.0,attention,Attention Challenge,Medium
66,77.0,69.0,70.0,71.0,616.0,87.0,attention,Attention Challenge,Medium
70,79.0,81.0,81.0,71.0,608.0,79.0,reaction,Reaction Test,Medium
80,73.0,91.0,68.0,76.0,551.0,97.0,recall,Word Recall,Medium
80,85.0,97.0,80.0,68.0,655.0,66.0,reaction,Reaction Test,Medium
75,66.0,81.0,82.0,82.0,469.0,81.0,memory,Memory Match,Medium
90,75.0,72.0,57.0,69.0,635.0,70.0,recall,Number Recall,Easy
87,91.0,47.0,87.0,86.0,421.0,84.0,attention,Attention Challenge,Easy
84,64.0,71.0,70.0,71.0,611.0,79.0,memory,Memory Match,Easy
77,49.0,71.0,65.0,79.0,511.0,68.0,memory,Memory Match,Easy
64,79.0,65.0,62.0,89.0,393.0,76.0,recall,Number Recall,Easy
59,72.0,77.0,76.0,74.0,581.0,79.0,memory,Memory Match,Medium
90,87.0,85.0,72.0,76.0,546.0,72.0,recall,Number Recall,Medium
88,73.0,56.0,77.0,91.0,365.0,85.0,attention,Attention Challenge,Easy
85,68.0,55.0,77.0,96.0,296.0,68.0,attention,Attention Challenge,Easy
64,74.0,66.0,81.0,77.0,532.0,99.0,attention,Attention Challenge,Medium
73,88.0,59.0,100.0,60.0,744.0,88.0,attention,Attention Challenge,Easy
86,82.0,43.0,73.0,73.0,589.0,81.0,attention,Attention Challenge,Easy
55,46.0,53.0,62.0,82.0,470.0,100.0,memory,Memory Match,Easy
59,77.0,50.0,44.0,66.0,680.0,75.0,recall,Word Recall,Easy
58,78.0,86.0,55.0,67.0,659.0,84.0,recall,Number Recall,Easy
70,75.0,94.0,89.0,64.0,703.0,80.0,reaction,Reaction Test,Easy
78,68.0,52.0,82.0,69.0,632.0,86.0,attention,Attention Challenge,Easy
70,89.0,76.0,53.0,68.0,656.0,93.0,recall,Word Recall,Easy
56,90.0,81.0,100.0,69.0,638.0,83.0,reaction,Reaction Test,Medium
82,49.0,46.0,77.0,81.0,493.0,88.0,attention,Attention Challenge,Easy
86,65.0,70.0,78.0,92.0,354.0,72.0,memory,Memory Match,Medium
81,73.0,100.0,100.0,81.0,487.0,76.0,memory,Memory Match,Medium
74,86.0,78.0,96.0,65.0,683.0,94.0,reaction,Reaction Test,Medium
78,75.0,64.0,83.0,80.0,504.0,84.0,attention,Attention Challenge,Easy
66,67.0,60.0,84.0,77.0,533.0,80.0,attention,Attention Challenge,Easy
89,84.0,38.0,85.0,87.0,410.0,70.0,attention,Attention Challenge,Easy
87,72.0,75.0,69.0,81.0,484.0,88.0,recall,Number Recall,Medium
87,74.0,97.0,76.0,76.0,549.0,70.0,memory,Memory Match,Medium
66,75.0,56.0,80.0,71.0,609.0,67.0,attention,Attention Challenge,Easy
57,82.0,39.0,70.0,80.0,495.0,79.0,attention,Attention Challenge,Easy
55,71.0,58.0,58.0,81.0,487.0,54.0,attention,Attention Challenge,Easy
87,83.0,81.0,68.0,68.0,651.0,84.0,recall,Word Recall,Medium
64,74.0,62.0,58.0,73.0,589.0,82.0,recall,Number Recall,Easy
83,62.0,56.0,73.0,72.0,604.0,74.0,attention,Attention Challenge,Easy
67,75.0,68.0,47.0,61.0,733.0,75.0,recall,Number Recall,Easy
66,63.0,71.0,77.0,81.0,489.0,77.0,memory,Memory Match,Easy
85,75.0,47.0,49.0,76.0,544.0,70.0,attention,Attention Challenge,Easy
56,85.0,65.0,66.0,71.0,616.0,80.0,attention,Attention Challenge,Medium
89,62.0,61.0,79.0,84.0,445.0,76.0,attention,Attention Challenge,Easy
77,79.0,58.0,83.0,74.0,577.0,79.0,attention,Attention Challenge,Easy
71,65.0,53.0,81.0,76.0,553.0,76.0,attention,Attention Challenge,Easy
80,77.0,82.0,76.0,49.0,883.0,74.0,reaction,Reaction Test,Easy
62,85.0,58.0,56.0,75.0,562.0,81.0,recall,Number Recall,Easy
83,49.0,38.0,86.0,65.0,689.0,86.0,attention,Attention Challenge,Easy
80,62.0,72.0,57.0,68.0,650.0,73.0,recall,Number Recall,Easy
64,71.0,79.0,87.0,87.0,411.0,82.0,memory,Memory Match,Medium
80,79.0,56.0,81.0,91.0,364.0,83.0,attention,Attention Challenge,Easy
88,73.0,60.0,91.0,74.0,580.0,65.0,attention,Attention Challenge,Easy
61,74.0,58.0,72.0,64.0,701.0,88.0,attention,Attention Challenge,Easy
58,100.0,63.0,61.0,73.0,585.0,99.0,recall,Word Recall,Easy
65,60.0,85.0,54.0,75.0,559.0,77.0,recall,Number Recall,Easy
83,89.0,66.0,55.0,79.0,516.0,76.0,recall,Word Recall,Easy
90,71.0,81.0,49.0,89.0,391.0,76.0,recall,Number Recall,Easy
79,82.0,53.0,85.0,85.0,435.0,84.0,attention,Attention Challenge,Easy
75,100.0,62.0,87.0,92.0,355.0,83.0,attention,Attention Challenge,Easy
90,83.0,82.0,80.0,87.0,418.0,62.0,recall,Word Recall,Medium
64,79.0,56.0,72.0,81.0,487.0,69.0,attention,Attention Challenge,Easy
63,94.0,83.0,100.0,69.0,643.0,83.0,reaction,Reaction Test,Medium
78,88.0,59.0,71.0,80.0,497.0,77.0,attention,Attention Challenge,Easy
89,65.0,63.0,75.0,74.0,581.0,66.0,attention,Attention Challenge,Easy
89,79.0,93.0,71.0,75.0,566.0,93.0,recall,Number Recall,Medium
90,54.0,61.0,67.0,71.0,610.0,70.0,memory,Memory Match,Easy
72,69.0,70.0,81.0,86.0,426.0,78.0,memory,Memory Match,Medium
86,79.0,77.0,63.0,66.0,677.0,76.0,recall,Word Recall,Easy
78,68.0,71.0,62.0,90.0,381.0,67.0,recall,Number Recall,Easy
77,78.0,72.0,82.0,80.0,496.0,80.0,attention,Attention Challenge,Medium
86,75.0,67.0,65.0,76.0,547.0,82.0,recall,Number Recall,Medium
66,81.0,48.0,74.0,69.0,641.0,73.0,attention,Attention Challenge,Easy
67,70.0,73.0,67.0,63.0,716.0,75.0,reaction,Reaction Test,Easy
77,64.0,57.0,72.0,69.0,642.0,84.0,attention,Attention Challenge,Easy
79,93.0,80.0,63.0,62.0,720.0,58.0,reaction,Reaction Test,Easy
89,69.0,89.0,63.0,84.0,450.0,70.0,recall,Word Recall,Easy
84,83.0,41.0,61.0,65.0,693.0,80.0,attention,Attention Challenge,Easy
71,92.0,89.0,84.0,66.0,672.0,73.0,reaction,Reaction Test,Medium
74,77.0,62.0,74.0,99.0,262.0,73.0,attention,Attention Challenge,Easy
79,65.0,66.0,85.0,78.0,524.0,87.0,memory,Memory Match,Medium
76,73.0,54.0,86.0,70.0,622.0,72.0,attention,Attention Challenge,Easy
67,87.0,71.0,66.0,81.0,488.0,98.0,recall,Word Recall,Medium
73,77.0,69.0,84.0,86.0,420.0,60.0,attention,Attention Challenge,Medium
90,61.0,84.0,72.0,56.0,804.0,56.0,reaction,Reaction Test,Easy
66,82.0,57.0,70.0,75.0,563.0,87.0,attention,Attention Challenge,Easy
73,84.0,93.0,90.0,75.0,567.0,68.0,reaction,Reaction Test,Medium
66,71.0,78.0,80.0,89.0,393.0,68.0,memory,Memory Match,Medium
63,82.0,69.0,67.0,82.0,477.0,88.0,recall,Word Recall,Medium
61,78.0,65.0,79.0,85.0,442.0,73.0,attention,Attention Challenge,Medium
82,73.0,63.0,54.0,66.0,679.0,87.0,recall,Word Recall,Easy
68,59.0,64.0,75.0,71.0,611.0,72.0,memory,Memory Match,Easy
85,88.0,71.0,51.0,81.0,482.0,82.0,recall,Word Recall,Easy
73,84.0,65.0,58.0,71.0,617.0,73.0,recall,Number Recall,Easy
70,82.0,58.0,80.0,78.0,520.0,69.0,attention,Attention Challenge,Easy
59,94.0,71.0,35.0,74.0,578.0,95.0,recall,Number Recall,Easy
89,86.0,55.0,97.0,74.0,578.0,89.0,attention,Attention Challenge,Easy
66,83.0,73.0,84.0,72.0,600.0,71.0,reaction,Reaction Test,Medium
79,48.0,65.0,46.0,73.0,586.0,76.0,recall,Word Recall,Easy
75,89.0,78.0,100.0,72.0,601.0,93.0,reaction,Reaction Test,Medium
90,76.0,83.0,100.0,64.0,701.0,68.0,reaction,Reaction Test,Easy
77,79.0,83.0,69.0,70.0,627.0,69.0,recall,Number Recall,Medium
70,79.0,73.0,59.0,79.0,510.0,83.0,recall,Word Recall,Easy
68,84.0,75.0,96.0,77.0,538.0,100.0,attention,Attention Challenge,Medium
85,88.0,63.0,67.0,64.0,698.0,79.0,attention,Attention Challenge,Easy
59,83.0,78.0,74.0,75.0,563.0,88.0,recall,Number Recall,Medium
89,81.0,80.0,89.0,80.0,505.0,68.0,attention,Attention Challenge,Medium
77,78.0,44.0,70.0,82.0,474.0,82.0,attention,Attention Challenge,Easy
83,35.0,74.0,69.0,73.0,583.0,74.0,memory,Memory Match,Easy
65,72.0,89.0,54.0,84.0,447.0,97.0,recall,Number Recall,Easy
72,64.0,63.0,63.0,64.0,704.0,94.0,attention,Attention Challenge,Easy
66,90.0,59.0,68.0,86.0,425.0,100.0,attention,Attention Challenge,Easy
63,82.0,62.0,55.0,62.0,727.0,71.0,recall,Word Recall,Easy
64,70.0,45.0,56.0,79.0,516.0,78.0,attention,Attention Challenge,Easy
71,71.0,70.0,72.0,86.0,421.0,82.0,attention,Attention Challenge,Medium
61,70.0,68.0,46.0,74.0,573.0,71.0,recall,Number Recall,Easy
67,70.0,71.0,60.0,85.0,436.0,79.0,recall,Word Recall,Easy
63,58.0,74.0,99.0,76.0,554.0,87.0,memory,Memory Match,Easy
81,55.0,56.0,67.0,82.0,481.0,72.0,memory,Memory Match,Easy
56,75.0,72.0,65.0,67.0,663.0,71.0,recall,Number Recall,Medium
59,88.0,75.0,67.0,75.0,566.0,70.0,recall,Word Recall,Medium
83,69.0,61.0,67.0,87.0,407.0,65.0,attention,Attention Challenge,Easy
73,79.0,74.0,80.0,82.0,478.0,87.0,attention,Attention Challenge,Medium
62,84.0,69.0,79.0,69.0,635.0,71.0,attention,Attention Challenge,Medium
55,63.0,59.0,67.0,64.0,704.0,70.0,attention,Attention Challenge,Easy
76,75.0,72.0,69.0,76.0,545.0,83.0,recall,Number Recall,Medium
71,67.0,64.0,90.0,86.0,425.0,78.0,attention,Attention Challenge,Easy
61,94.0,78.0,51.0,66.0,676.0,73.0,recall,Number Recall,Easy
79,94.0,64.0,71.0,69.0,634.0,86.0,attention,Attention Challenge,Easy
58,63.0,49.0,74.0,63.0,707.0,72.0,attention,Attention Challenge,Easy
90,80.0,72.0,61.0,73.0,585.0,56.0,recall,Word Recall,Easy
60,88.0,71.0,70.0,81.0,488.0,91.0,recall,Number Recall,Medium
85,85.0,52.0,59.0,71.0,612.0,70.0,attention,Attention Challenge,Easy
73,76.0,79.0,81.0,73.0,589.0,71.0,reaction,Reaction Test,Medium
81,91.0,78.0,53.0,82.0,481.0,71.0,recall,Word Recall,Easy
64,64.0,55.0,87.0,74.0,574.0,79.0,attention,Attention Challenge,Easy
80,71.0,58.0,71.0,78.0,527.0,75.0,attention,Attention Challenge,Easy
73,64.0,66.0,66.0,69.0,639.0,88.0,memory,Memory Match,Easy
57,84.0,57.0,58.0,71.0,609.0,94.0,attention,Attention Challenge,Easy
67,68.0,78.0,86.0,86.0,424.0,71.0,memory,Memory Match,Medium
82,73.0,70.0,63.0,87.0,412.0,69.0,recall,Word Recall,Easy
74,82.0,52.0,56.0,77.0,539.0,73.0,attention,Attention Challenge,Easy
82,83.0,56.0,87.0,76.0,554.0,82.0,attention,Attention Challenge,Easy
62,64.0,86.0,59.0,69.0,641.0,77.0,recall,Number Recall,Easy
55,88.0,91.0,71.0,71.0,612.0,73.0,recall,Word Recall,Medium
57,80.0,76.0,83.0,62.0,725.0,65.0,reaction,Reaction Test,Easy
67,62.0,65.0,74.0,80.0,494.0,56.0,memory,Memory Match,Easy
82,59.0,61.0,96.0,81.0,487.0,68.0,memory,Memory Match,Easy
79,75.0,76.0,60.0,85.0,435.0,91.0,recall,Word Recall,Easy
87,85.0,69.0,69.0,69.0,640.0,82.0,attention,Attention Challenge,Medium
60,86.0,44.0,70.0,76.0,553.0,76.0,attention,Attention Challenge,Easy
86,79.0,83.0,81.0,94.0,328.0,85.0,memory,Memory Match,Medium
75,76.0,88.0,90.0,74.0,574.0,65.0,reaction,Reaction Test,Medium
70,81.0,79.0,73.0,73.0,582.0,79.0,recall,Number Recall,Medium
75,65.0,52.0,70.0,77.0,533.0,60.0,attention,Attention Challenge,Easy
65,95.0,58.0,51.0,73.0,586.0,81.0,recall,Number Recall,Easy
90,95.0,40.0,74.0,88.0,404.0,81.0,attention,Attention Challenge,Easy
89,80.0,92.0,63.0,60.0,747.0,81.0,reaction,Reaction Test,Easy
73,77.0,63.0,81.0,72.0,596.0,90.0,attention,Attention Challenge,Easy
74,70.0,100.0,66.0,93.0,337.0,86.0,recall,Number Recall,Medium
72,81.0,97.0,69.0,76.0,549.0,66.0,recall,Word Recall,Medium
68,67.0,54.0,52.0,72.0,599.0,90.0,recall,Number Recall,Easy
69,48.0,57.0,47.0,87.0,416.0,76.0,recall,Word Recall,Easy
85,42.0,75.0,98.0,71.0,614.0,58.0,memory,Memory Match,Easy
55,65.0,42.0,74.0,60.0,752.0,77.0,attention,Attention Challenge,Easy
57,77.0,61.0,78.0,82.0,473.0,84.0,attention,Attention Challenge,Easy
70,79.0,60.0,59.0,72.0,601.0,68.0,recall,Word Recall,Easy
77,69.0,96.0,84.0,74.0,575.0,91.0,memory,Memory Match,Medium
65,77.0,70.0,82.0,67.0,666.0,69.0,reaction,Reaction Test,Medium
66,72.0,64.0,61.0,77.0,537.0,73.0,recall,Number Recall,Easy
64,63.0,59.0,57.0,86.0,422.0,71.0,recall,Word Recall,Easy
86,74.0,81.0,62.0,67.0,659.0,61.0,recall,Number Recall,Easy
70,85.0,61.0,72.0,86.0,429.0,68.0,attention,Attention Challenge,Easy
62,64.0,67.0,74.0,59.0,767.0,71.0,reaction,Reaction Test,Easy
66,64.0,58.0,73.0,71.0,617.0,77.0,attention,Attention Challenge,Easy
78,62.0,45.0,90.0,82.0,478.0,48.0,attention,Attention Challenge,Easy
82,52.0,53.0,62.0,65.0,683.0,85.0,memory,Memory Match,Easy
62,69.0,60.0,57.0,76.0,549.0,85.0,recall,Number Recall,Easy
82,84.0,64.0,72.0,78.0,523.0,90.0,attention,Attention Challenge,Easy
90,77.0,65.0,48.0,83.0,468.0,63.0,recall,Number Recall,Easy
80,73.0,67.0,82.0,94.0,325.0,75.0,attention,Attention Challenge,Medium
62,77.0,61.0,73.0,70.0,623.0,87.0,attention,Attention Challenge,Easy
82,69.0,88.0,67.0,92.0,355.0,88.0,recall,Word Recall,Medium
82,52.0,82.0,66.0,84.0,455.0,93.0,memory,Memory Match,Easy
90,84.0,66.0,85.0,72.0,602.0,79.0,attention,Attention Challenge,Medium
81,88.0,72.0,84.0,81.0,490.0,77.0,attention,Attention Challenge,Medium
71,66.0,62.0,69.0,74.0,569.0,62.0,attention,Attention Challenge,Easy
63,73.0,25.0,80.0,88.0,404.0,89.0,attention,Attention Challenge,Easy
87,72.0,68.0,84.0,79.0,508.0,73.0,attention,Attention Challenge,Medium
74,79.0,73.0,77.0,74.0,570.0,78.0,attention,Attention Challenge,Medium
67,95.0,44.0,69.0,85.0,436.0,78.0,attention,Attention Challenge,Easy
82,89.0,75.0,77.0,60.0,752.0,54.0,reaction,Reaction Test,Easy
83,70.0,64.0,57.0,82.0,474.0,70.0,recall,Word Recall,Easy
67,82.0,73.0,73.0,63.0,715.0,83.0,reaction,Reaction Test,Easy
89,90.0,64.0,69.0,78.0,530.0,78.0,attention,Attention Challenge,Easy
60,80.0,87.0,67.0,91.0,362.0,83.0,recall,Number Recall,Medium
72,75.0,71.0,48.0,87.0,414.0,86.0,recall,Word Recall,Easy
59,80.0,83.0,58.0,74.0,571.0,70.0,recall,Number Recall,Easy
79,67.0,84.0,65.0,66.0,674.0,73.0,recall,Word Recall,Medium
56,68.0,51.0,85.0,59.0,762.0,77.0,attention,Attention Challenge,Easy
64,62.0,57.0,76.0,75.0,565.0,86.0,attention,Attention Challenge,Easy
84,79.0,75.0,85.0,87.0,409.0,76.0,attention,Attention Challenge,Medium
59,73.0,63.0,89.0,73.0,583.0,60.0,attention,Attention Challenge,Easy
87,65.0,64.0,77.0,84.0,451.0,76.0,attention,Attention Challenge,Easy
55,73.0,87.0,74.0,72.0,597.0,85.0,reaction,Reaction Test,Medium
72,81.0,63.0,58.0,85.0,437.0,92.0,recall,Number Recall,Easy
86,98.0,53.0,100.0,96.0,299.0,81.0,attention,Attention Challenge,Easy
65,87.0,55.0,52.0,63.0,708.0,63.0,recall,Number Recall,Easy
75,48.0,100.0,74.0,78.0,523.0,74.0,memory,Memory Match,Easy
80,78.0,65.0,84.0,76.0,556.0,83.0,attention,Attention Challenge,Medium
79,92.0,48.0,84.0,66.0,670.0,87.0,attention,Attention Challenge,Easy
76,59.0,41.0,56.0,58.0,775.0,83.0,attention,Attention Challenge,Easy
81,82.0,59.0,66.0,69.0,636.0,75.0,attention,Attention Challenge,Easy
67,72.0,65.0,61.0,75.0,562.0,87.0,recall,Number Recall,Easy
87,89.0,82.0,44.0,72.0,606.0,72.0,recall,Word Recall,Easy
88,80.0,81.0,74.0,79.0,515.0,80.0,recall,Number Recall,Medium
89,64.0,68.0,62.0,76.0,554.0,85.0,recall,Word Recall,Easy
55,73.0,61.0,93.0,75.0,567.0,84.0,attention,Attention Challenge,Easy
75,73.0,73.0,81.0,84.0,456.0,84.0,memory,Memory Match,Medium
60,74.0,42.0,73.0,76.0,553.0,84.0,attention,Attention Challenge,Easy
82,88.0,98.0,65.0,72.0,594.0,68.0,recall,Word Recall,Medium
71,65.0,78.0,74.0,71.0,612.0,78.0,memory,Memory Match,Medium
59,87.0,81.0,68.0,72.0,602.0,69.0,recall,Word Recall,Medium
85,71.0,52.0,73.0,89.0,389.0,75.0,attention,Attention Challenge,Easy
59,78.0,87.0,99.0,64.0,698.0,66.0,reaction,Reaction Test,Easy
57,76.0,61.0,57.0,65.0,688.0,81.0,recall,Number Recall,Easy
77,75.0,54.0,70.0,77.0,538.0,58.0,attention,Attention Challenge,Easy
64,75.0,67.0,82.0,72.0,605.0,84.0,attention,Attention Challenge,Medium
64,92.0,67.0,66.0,78.0,524.0,78.0,recall,Word Recall,Medium
73,85.0,52.0,94.0,69.0,640.0,97.0,attention,Attention Challenge,Easy
71,71.0,55.0,81.0,84.0,452.0,76.0,attention,Attention Challenge,Easy
75,94.0,53.0,62.0,63.0,711.0,76.0,attention,Attention Challenge,Easy
68,78.0,54.0,75.0,69.0,634.0,85.0,attention,Attention Challenge,Easy
63,79.0,62.0,62.0,69.0,637.0,77.0,attention,Attention Challenge,Easy
55,65.0,47.0,61.0,77.0,537.0,81.0,attention,Attention Challenge,Easy
67,69.0,58.0,70.0,90.0,380.0,88.0,attention,Attention Challenge,Easy
58,67.0,84.0,90.0,68.0,656.0,75.0,memory,Memory Match,Medium
55,76.0,80.0,82.0,89.0,384.0,90.0,memory,Memory Match,Medium
86,83.0,52.0,72.0,67.0,658.0,61.0,attention,Attention Challenge,Easy
88,79.0,82.0,83.0,83.0,457.0,94.0,memory,Memory Match,Medium
82,94.0,39.0,76.0,91.0,360.0,60.0,attention,Attention Challenge,Easy
85,64.0,100.0,56.0,76.0,550.0,92.0,recall,Number Recall,Easy
62,76.0,88.0,70.0,65.0,692.0,59.0,reaction,Reaction Test,Medium
80,60.0,60.0,71.0,85.0,434.0,98.0,memory,Memory Match,Easy
88,64.0,74.0,83.0,61.0,742.0,80.0,reaction,Reaction Test,Easy
57,90.0,47.0,64.0,70.0,629.0,69.0,attention,Attention Challenge,Easy
66,69.0,69.0,59.0,74.0,569.0,97.0,recall,Word Recall,Easy
55,65.0,65.0,71.0,80.0,498.0,67.0,memory,Memory Match,Medium
59,49.0,55.0,63.0,80.0,506.0,76.0,memory,Memory Match,Easy
84,65.0,61.0,67.0,72.0,602.0,100.0,attention,Attention Challenge,Easy
84,73.0,59.0,71.0,68.0,652.0,82.0,attention,Attention Challenge,Easy
71,59.0,51.0,67.0,82.0,479.0,58.0,attention,Attention Challenge,Easy
77,72.0,55.0,85.0,84.0,453.0,75.0,attention,Attention Challenge,Easy
69,90.0,46.0,92.0,78.0,524.0,74.0,attention,Attention Challenge,Easy
75,67.0,81.0,84.0,63.0,717.0,80.0,reaction,Reaction Test,Easy
68,64.0,54.0,47.0,88.0,404.0,78.0,recall,Number Recall,Easy
56,62.0,50.0,63.0,65.0,687.0,83.0,attention,Attention Challenge,Easy
65,61.0,81.0,69.0,76.0,555.0,63.0,memory,Memory Match,Easy
88,81.0,74.0,46.0,92.0,352.0,73.0,recall,Word Recall,Easy
88,76.0,80.0,60.0,80.0,495.0,81.0,recall,Number Recall,Easy
72,86.0,82.0,69.0,70.0,623.0,70.0,recall,Word Recall,Medium
84,99.0,97.0,66.0,59.0,766.0,89.0,reaction,Reaction Test,Easy
69,53.0,66.0,72.0,89.0,391.0,71.0,memory,Memory Match,Easy
81,80.0,46.0,53.0,100.0,250.0,79.0,attention,Attention Challenge,Easy
88,62.0,72.0,66.0,89.0,393.0,77.0,memory,Memory Match,Easy
87,84.0,58.0,74.0,65.0,686.0,68.0,attention,Attention Challenge,Easy
78,72.0,54.0,72.0,93.0,335.0,79.0,attention,Attention Challenge,Easy
69,75.0,69.0,78.0,62.0,730.0,65.0,reaction,Reaction Test,Easy
84,60.0,81.0,77.0,64.0,696.0,74.0,memory,Memory Match,Easy
71,70.0,55.0,66.0,74.0,573.0,78.0,attention,Attention Challenge,Easy
59,76.0,87.0,74.0,82.0,475.0,64.0,recall,Word Recall,Medium
83,91.0,53.0,61.0,75.0,557.0,84.0,attention,Attention Challenge,Easy
58,65.0,64.0,68.0,70.0,623.0,81.0,attention,Attention Challenge,Easy
64,68.0,74.0,57.0,72.0,605.0,83.0,recall,Number Recall,Easy
71,86.0,62.0,87.0,59.0,759.0,78.0,reaction,Reaction Test,Easy
64,65.0,41.0,68.0,78.0,519.0,66.0,attention,Attention Challenge,Easy
71,89.0,82.0,87.0,88.0,394.0,78.0,attention,Attention Challenge,Medium
74,75.0,59.0,76.0,90.0,373.0,84.0,attention,Attention Challenge,Easy
78,79.0,79.0,60.0,92.0,349.0,66.0,recall,Word Recall,Easy
59,79.0,49.0,76.0,74.0,574.0,67.0,attention,Attention Challenge,Easy
88,68.0,52.0,83.0,78.0,522.0,76.0,attention,Attention Challenge,Easy
60,80.0,81.0,71.0,76.0,554.0,74.0,recall,Number Recall,Medium
56,66.0,73.0,73.0,81.0,486.0,78.0,memory,Memory Match,Medium
67,69.0,61.0,64.0,87.0,417.0,75.0,attention,Attention Challenge,Easy
65,82.0,73.0,72.0,70.0,624.0,80.0,reaction,Reaction Test,Medium
77,79.0,54.0,75.0,100.0,254.0,90.0,attention,Attention Challenge,Easy
70,74.0,70.0,64.0,84.0,454.0,83.0,recall,Word Recall,Easy
85,60.0,70.0,57.0,68.0,644.0,79.0,recall,Number Recall,Easy
65,63.0,62.0,90.0,85.0,442.0,67.0,attention,Attention Challenge,Easy
70,78.0,55.0,80.0,72.0,597.0,71.0,attention,Attention Challenge,Easy
62,84.0,69.0,64.0,84.0,454.0,86.0,recall,Word Recall,Easy
58,62.0,67.0,75.0,80.0,495.0,73.0,memory,Memory Match,Easy
58,65.0,61.0,51.0,70.0,619.0,68.0,recall,Word Recall,Easy
79,77.0,52.0,44.0,88.0,397.0,99.0,recall,Number Recall,Easy
57,76.0,68.0,87.0,69.0,639.0,93.0,attention,Attention Challenge,Medium
86,56.0,61.0,75.0,76.0,556.0,77.0,memory,Memory Match,Easy
57,77.0,52.0,71.0,64.0,701.0,67.0,attention,Attention Challenge,Easy
81,68.0,69.0,75.0,74.0,575.0,85.0,memory,Memory Match,Medium
83,95.0,92.0,100.0,86.0,422.0,73.0,reaction,Reaction Test,Hard
86,78.0,62.0,84.0,59.0,757.0,87.0,reaction,Reaction Test,Easy
73,80.0,90.0,57.0,85.0,432.0,73.0,recall,Word Recall,Easy
75,80.0,100.0,48.0,78.0,523.0,94.0,recall,Number Recall,Easy
59,60.0,54.0,87.0,67.0,665.0,73.0,attention,Attention Challenge,Easy
72,98.0,68.0,84.0,94.0,324.0,100.0,attention,Attention Challenge,Medium
82,56.0,100.0,80.0,62.0,723.0,80.0,memory,Memory Match,Easy
76,85.0,66.0,61.0,87.0,412.0,92.0,recall,Number Recall,Easy
75,82.0,69.0,77.0,80.0,495.0,73.0,attention,Attention Challenge,Medium
60,69.0,43.0,62.0,73.0,585.0,65.0,attention,Attention Challenge,Easy
55,83.0,60.0,81.0,76.0,545.0,55.0,attention,Attention Challenge,Easy
59,71.0,76.0,86.0,68.0,645.0,91.0,reaction,Reaction Test,Medium
66,67.0,100.0,64.0,91.0,358.0,79.0,recall,Word Recall,Easy
80,81.0,65.0,88.0,69.0,637.0,66.0,attention,Attention Challenge,Medium
88,63.0,43.0,74.0,68.0,647.0,91.0,attention,Attention Challenge,Easy
68,72.0,47.0,79.0,66.0,674.0,90.0,attention,Attention Challenge,Easy
80,68.0,67.0,54.0,91.0,359.0,92.0,recall,Word Recall,Easy
81,71.0,86.0,75.0,90.0,374.0,65.0,memory,Memory Match,Medium
63,80.0,78.0,63.0,79.0,509.0,90.0,recall,Word Recall,Easy
80,68.0,75.0,79.0,89.0,387.0,82.0,memory,Memory Match,Medium
76,73.0,88.0,93.0,93.0,334.0,92.0,memory,Memory Match,Medium
84,69.0,57.0,76.0,80.0,504.0,83.0,attention,Attention Challenge,Easy
71,92.0,68.0,59.0,74.0,578.0,80.0,recall,Word Recall,Easy
80,79.0,60.0,81.0,49.0,886.0,91.0,reaction,Reaction Test,Easy
90,78.0,64.0,78.0,71.0,616.0,87.0,attention,Attention Challenge,Easy
55,83.0,53.0,100.0,59.0,760.0,89.0,attention,Attention Challenge,Easy
62,68.0,63.0,76.0,76.0,545.0,73.0,attention,Attention Challenge,Easy
89,85.0,68.0,64.0,71.0,617.0,76.0,recall,Number Recall,Easy
69,79.0,62.0,83.0,77.0,532.0,61.0,attention,Attention Challenge,Easy
76,56.0,66.0,70.0,50.0,872.0,72.0,reaction,Reaction Test,Easy
68,58.0,74.0,73.0,83.0,468.0,86.0,memory,Memory Match,Easy
80,68.0,87.0,59.0,81.0,484.0,84.0,recall,Number Recall,Easy
82,59.0,88.0,70.0,68.0,646.0,68.0,memory,Memory Match,Easy
77,72.0,79.0,72.0,74.0,575.0,91.0,memory,Memory Match,Medium
68,63.0,49.0,70.0,80.0,499.0,100.0,attention,Attention Challenge,Easy
78,74.0,63.0,64.0,67.0,665.0,69.0,attention,Attention Challenge,Easy
56,92.0,64.0,76.0,76.0,545.0,76.0,attention,Attention Challenge,Easy
